company_id,company_name,year,industry,region,revenue,net_profit,total_assets,total_liabilities,equity,operating_cash_flow,roe,roa,debt_to_equity_ratio,profit_margin,anomaly_label,credit_rating,audit_opinion,fraud_risk_score,g_index,esg_score,stock_volatility,market_cap,ownership_type,risk_category,audit_firm,financial_health_index
SZ425846,ZTE Semicon Co.,2021,Technology,Beijing,9113.44,816.58,17777.34,6944.12,10833.220000000001,674.98,7.54,4.59,0.64,8.96,0,A,Standard,0.6,2,41,0.33,26645.79,Foreign JV,Medium,Local Tier 2,0.06
SZ622585,Evergrande Property Dev.,2022,Real Estate,Hebei,12740.4,1758.37,23394.1,9376.67,14017.429999999998,1521.8,12.54,7.52,0.67,13.8,0,A,Standard,0.52,8,68,0.62,44754.77,Private,Medium,Big4,0.1
SH456386,China National Steel Corp.,2021,Manufacturing,Hebei,10842.85,1355.22,16281.14,8650.82,7630.32,1247.55,17.76,8.32,1.13,12.5,0,BB,Standard,0.76,5,50,0.2,27287.64,Private,High,Local Tier 2,0.13
SZ626691,Evergrande Property Dev.,2021,Real Estate,Sichuan,9211.46,376.39,16536.02,5238.05,11297.970000000001,386.91,3.33,2.28,0.46,4.09,0,B,Adverse,0.34,8,33,0.17,22670.96,Private,Low,Local Tier 1,0.03
SH116094,Haier Precision Ltd.,2022,Manufacturing,Shenzhen,9436.94,1730.42,13906.89,9882.63,4024.26,1460.91,43.0,12.44,2.46,18.34,0,A,Standard,0.76,3,34,0.29,19765.99,Private,High,Local Tier 1,0.28
SH455008,China National Steel Corp.,2021,Manufacturing,Zhejiang,6666.09,715.0,11850.99,7821.87,4029.12,755.37,17.75,6.03,1.94,10.73,0,BBB,Adverse,0.39,9,44,0.26,22828.53,Private,Low,Local Tier 2,0.12
SZ182805,Sinopharm Biotech,2021,Pharmaceuticals,Zhejiang,9770.82,1677.51,12917.33,7597.25,5320.08,1749.12,31.53,12.99,1.43,17.17,0,BBB,Standard,0.59,10,43,0.18,19588.4,SOE,Medium,Local Tier 1,0.22
SH123006,PetroChina Renewables Ltd.,2022,Energy,Zhejiang,5544.58,-1.53,8660.37,3208.05,5452.320000000001,-1.33,-0.03,-0.02,0.59,-0.03,1,AA,Standard,0.75,1,72,0.43,15399.99,Private,High,Big4,-0.0
SH962368,PetroChina Renewables Ltd.,2022,Energy,Sichuan,10165.02,377.07,12358.31,4350.8,8007.509999999999,422.31,4.71,3.05,0.54,3.71,0,AAA,Standard,0.6,1,45,0.3,22932.12,Private,Medium,Big4,0.04
SH489034,Guangzhou Pharma Group,2022,Pharmaceuticals,Zhejiang,13294.06,343.65,19990.99,11897.59,8093.4000000000015,311.77,4.25,1.72,1.47,2.58,0,A,Qualified,0.34,7,57,0.3,38989.85,SOE,Low,Big4,0.03
SH670914,JD Global Mall,2022,Retail & E-commerce,Sichuan,7907.13,920.62,9630.69,4182.98,5447.710000000001,935.95,16.9,9.56,0.77,11.64,0,AAA,Standard,0.77,2,80,0.43,12703.7,SOE,High,Local Tier 2,0.13
SZ772876,Evergrande Property Dev.,2022,Real Estate,Beijing,3955.44,887.31,5187.5,3721.85,1465.65,1059.24,60.54,17.1,2.54,22.43,0,AAA,Standard,0.24,3,63,0.75,9074.3,SOE,Low,Local Tier 2,0.39
SZ236307,Baidu AI Systems,2021,Technology,Hebei,8768.09,2176.85,14734.02,9319.54,5414.48,1894.18,40.2,14.77,1.72,24.83,0,BB,Standard,0.47,1,80,0.1,20995.84,Foreign JV,Medium,Local Tier 2,0.27
SH575756,Didi Mobility Systems,2021,Transportation,Zhejiang,7895.03,2582.31,13822.0,7151.69,6670.31,2320.36,38.71,18.68,1.07,32.71,0,AAA,Qualified,0.6,9,40,0.34,19897.56,SOE,Medium,Local Tier 1,0.29
SZ250211,JD Global Mall,2021,Retail & E-commerce,Zhejiang,11095.53,16.02,21178.95,12875.35,8303.6,14.31,0.19,0.08,1.55,0.14,0,AAA,Qualified,0.64,1,50,0.27,28781.65,Private,Medium,Big4,0.0
SZ265057,SinoMach Robotics,2021,Manufacturing,Beijing,6663.49,1967.98,10242.35,6849.99,3392.3600000000006,1762.35,58.01,19.21,2.02,29.53,0,BBB,Standard,0.44,7,52,0.53,18436.1,Private,Medium,Local Tier 1,0.39
SH652531,China National Steel Corp.,2022,Manufacturing,Hebei,7895.95,1369.33,11902.84,7615.72,4287.12,1215.01,31.94,11.5,1.78,17.34,0,AAA,Standard,0.47,10,43,0.14,17464.58,Private,Medium,Local Tier 2,0.22
SH843964,Didi Mobility Systems,2022,Transportation,Zhejiang,12261.51,1139.41,21541.22,8119.92,13421.300000000001,1283.36,8.49,5.29,0.61,9.29,0,AA,Standard,0.36,6,60,0.1,31589.63,Private,Low,Local Tier 1,0.07
SH972443,Beijing Life Sciences Inc.,2022,Pharmaceuticals,Sichuan,5889.14,2271.66,9799.94,3388.26,6411.68,2614.65,35.43,23.18,0.53,38.57,0,AAA,Qualified,0.69,4,30,0.47,18159.4,Private,Medium,Local Tier 1,0.29
SZ635281,JD Global Mall,2022,Retail & E-commerce,Shanghai,11250.83,730.68,17177.35,8354.11,8823.239999999998,660.46,8.28,4.25,0.95,6.49,0,A,Standard,0.52,6,57,0.41,31358.61,Private,Medium,Local Tier 1,0.06
SH586491,SinoMach Robotics,2021,Manufacturing,Jiangsu,5389.33,1458.15,7966.76,5090.82,2875.9400000000005,1496.49,50.7,18.3,1.77,27.06,0,BBB,Adverse,0.57,10,33,0.13,11089.61,SOE,Medium,Local Tier 2,0.34
SZ744884,Haier Precision Ltd.,2021,Manufacturing,Zhejiang,7498.65,1234.81,11008.73,7395.16,3613.5699999999997,1067.25,34.17,11.22,2.05,16.47,0,A,Standard,0.58,1,72,0.31,20843.76,Private,Medium,Local Tier 1,0.23
SZ437146,Wanda Commercial Towers,2021,Real Estate,Jiangsu,9201.24,1172.5,13154.37,8003.95,5150.420000000001,1398.18,22.77,8.91,1.55,12.74,0,A,Disclaimer,0.5,8,42,0.3,18705.12,SOE,Medium,Local Tier 1,0.16
SZ629058,China National Steel Corp.,2022,Manufacturing,Shenzhen,3920.43,880.63,6692.98,3814.95,2878.0299999999997,979.21,30.6,13.16,1.33,22.46,0,AAA,Qualified,0.55,8,52,0.1,11449.15,SOE,Medium,Local Tier 2,0.22
SZ711047,Guangzhou Pharma Group,2022,Pharmaceuticals,Shenzhen,10895.04,1111.15,20670.39,16262.32,4408.07,1319.55,25.21,5.38,3.69,10.2,0,B,Standard,0.53,7,31,0.18,35824.61,Private,Medium,Local Tier 2,0.15
SZ424621,Beijing Life Sciences Inc.,2021,Pharmaceuticals,Zhejiang,6323.23,1187.0,11423.61,3567.52,7856.09,960.1,15.11,10.39,0.45,18.77,0,BBB,Standard,0.47,3,85,0.43,19273.64,Private,Medium,Local Tier 2,0.13
SH345370,PetroChina Renewables Ltd.,2021,Energy,Guangdong,5992.64,943.37,8957.92,6558.8,2399.12,933.26,39.32,10.53,2.73,15.74,0,AA,Qualified,0.45,8,41,0.42,12497.1,SOE,Medium,Local Tier 1,0.25
SZ651614,China Grain Supply Chain,2021,Agriculture,Beijing,11148.66,1075.58,14092.93,10533.17,3559.76,1096.06,30.21,7.63,2.96,9.65,0,A,Standard,0.46,7,52,0.36,21268.47,Private,Medium,Big4,0.19
SZ469413,JD Global Mall,2021,Retail & E-commerce,Sichuan,6045.75,614.32,11471.37,4698.75,6772.620000000001,731.25,9.07,5.36,0.69,10.16,0,BB,Standard,0.29,8,56,0.14,15762.27,Private,Low,Local Tier 2,0.07
SH138400,China Grain Supply Chain,2022,Agriculture,Guangdong,7667.8,1865.48,11811.44,5586.43,6225.01,1769.25,29.97,15.79,0.9,24.33,0,AA,Adverse,0.67,1,58,0.53,15134.42,Private,Medium,Big4,0.23
SH274740,China National PowerGrid,2022,Energy,Jiangsu,7125.53,-107.23,13514.28,7063.27,6451.01,-107.87,-1.66,-0.79,1.09,-1.5,1,A,Standard,0.79,6,37,0.34,22548.0,SOE,High,Big4,-0.01
SZ178687,CRRC Urban Transit,2022,Transportation,Zhejiang,11446.3,-274.38,15232.95,7548.55,7684.400000000001,-325.9,-3.57,-1.8,0.98,-2.4,1,A,Qualified,0.96,3,77,0.15,25823.86,Private,High,Local Tier 1,-0.03
SZ478428,Bank of China Trust,2021,Financial Services,Sichuan,11324.55,521.04,15418.18,9817.01,5601.17,618.98,9.3,3.38,1.75,4.6,0,A,Disclaimer,0.56,3,43,0.45,30053.08,Private,Medium,Local Tier 1,0.06
SH517501,SinoMach Robotics,2022,Manufacturing,Jiangsu,6047.86,1556.17,8114.53,5244.53,2870.0,1766.64,54.22,19.18,1.83,25.73,0,A,Qualified,0.47,10,58,0.07,12824.35,SOE,Medium,Local Tier 1,0.37
SH305838,Sinopec Green Energy,2022,Energy,Hebei,7242.86,1333.12,12970.22,9588.34,3381.879999999999,1282.0,39.42,10.28,2.84,18.41,0,AAA,Standard,0.79,9,37,0.08,25645.78,Private,High,Local Tier 2,0.25
SZ720557,Haier Precision Ltd.,2021,Manufacturing,Shenzhen,11568.41,315.11,21358.49,14548.18,6810.310000000001,352.65,4.63,1.48,2.14,2.72,0,AA,Standard,0.76,10,85,0.3,31874.68,Private,High,Big4,0.03
SZ904215,PetroChina Renewables Ltd.,2021,Energy,Zhejiang,12783.52,834.81,19313.94,10127.2,9186.739999999998,747.17,9.09,4.32,1.1,6.53,0,BBB,Standard,0.24,9,50,0.11,33255.4,Private,Low,Big4,0.07
SH705749,ICBC Capital Group,2022,Financial Services,Sichuan,9176.25,1203.1,11756.03,6382.77,5373.26,1086.05,22.39,10.23,1.19,13.11,0,AA,Standard,0.61,9,59,0.36,20909.63,Private,Medium,Big4,0.16
SH965402,China Grain Supply Chain,2021,Agriculture,Shanghai,8146.58,1255.06,11262.35,4572.77,6689.58,1310.78,18.76,11.14,0.68,15.41,0,AAA,Standard,0.73,6,78,0.29,16097.88,SOE,High,Local Tier 1,0.15
SZ133105,Beijing Life Sciences Inc.,2021,Pharmaceuticals,Shanghai,6397.55,-78.72,8083.53,2771.27,5312.26,-91.13,-1.48,-0.97,0.52,-1.23,1,AA,Standard,0.91,7,44,0.1,16074.12,Foreign JV,High,Local Tier 1,-0.01
SZ530312,Guangzhou Pharma Group,2021,Pharmaceuticals,Jiangsu,6254.96,303.52,8640.13,4125.65,4514.48,251.24,6.72,3.51,0.91,4.85,0,B,Qualified,0.35,1,89,0.22,12019.32,Private,Low,Local Tier 1,0.05
SH687714,Alibaba Commerce Ltd.,2022,Retail & E-commerce,Hebei,9616.27,557.1,13085.31,7431.33,5653.98,467.22,9.85,4.26,1.31,5.79,0,AA,Standard,0.82,9,85,0.16,24154.99,SOE,High,Local Tier 2,0.07
SZ745585,Sinopec Green Energy,2022,Energy,Guangdong,11681.15,877.04,21075.32,7668.4,13406.92,991.43,6.54,4.16,0.57,7.51,0,AA,Standard,0.55,9,71,0.33,34901.47,Foreign JV,Medium,Local Tier 2,0.05
SH695552,Huawei Digital Ltd.,2021,Technology,Shanghai,5995.73,1494.16,7583.01,3802.8,3780.21,1299.04,39.53,19.7,1.01,24.92,0,B,Standard,0.29,8,65,0.25,13167.63,Private,Low,Local Tier 1,0.3
SH240719,Sichuan Organic Farming Ltd.,2021,Agriculture,Jiangsu,11939.21,1851.22,22182.87,8124.75,14058.119999999999,2119.29,13.17,8.35,0.58,15.51,0,AA,Qualified,0.53,6,36,0.19,44212.0,Private,Medium,Local Tier 1,0.11
SZ374259,Alibaba Commerce Ltd.,2022,Retail & E-commerce,Sichuan,8879.81,1583.54,12190.47,7433.68,4756.789999999999,1678.68,33.29,12.99,1.56,17.83,0,BBB,Standard,0.34,2,71,0.3,14721.18,SOE,Low,Big4,0.23
SZ525111,Vanke Urban Assets,2022,Real Estate,Hebei,7359.67,2201.08,9174.06,7315.7,1858.3599999999997,1811.74,118.44,23.99,3.94,29.91,0,BBB,Standard,0.39,5,43,0.49,14840.4,Private,Low,Local Tier 1,0.71
SH894140,Alibaba Commerce Ltd.,2021,Retail & E-commerce,Guangdong,8481.72,1274.84,15701.16,9540.18,6160.98,1176.04,20.69,8.12,1.55,15.03,0,BB,Standard,0.6,10,48,0.3,25606.15,SOE,Medium,Local Tier 1,0.14
SH653830,Haier Precision Ltd.,2022,Manufacturing,Sichuan,14866.05,677.93,28383.5,14898.28,13485.22,595.12,5.03,2.39,1.1,4.56,0,AAA,Standard,0.46,1,72,0.35,34249.83,Private,Medium,Local Tier 1,0.04
SZ700522,Sichuan Organic Farming Ltd.,2021,Agriculture,Shenzhen,4489.66,-135.58,8359.88,5574.43,2785.449999999999,-150.18,-4.87,-1.62,2.0,-3.02,1,AA,Adverse,0.79,8,73,0.35,13164.43,Private,High,Local Tier 1,-0.03
SZ851743,Haier Precision Ltd.,2021,Manufacturing,Jiangsu,7477.06,828.78,10526.58,7159.6,3366.9799999999996,708.48,24.61,7.87,2.13,11.08,0,AAA,Standard,0.5,1,69,0.58,13941.64,Private,Medium,Local Tier 1,0.16
SH578988,Evergrande Property Dev.,2021,Real Estate,Beijing,3563.27,599.83,4310.48,1812.99,2497.49,714.01,24.02,13.92,0.73,16.83,0,A,Standard,0.3,5,56,0.19,5886.99,Private,Low,Local Tier 1,0.19
SH585495,Huawei Digital Ltd.,2022,Technology,Zhejiang,10764.05,3132.95,20624.93,12753.11,7871.82,3275.73,39.8,15.19,1.62,29.11,0,A,Qualified,0.74,4,70,0.55,26388.23,Private,High,Local Tier 2,0.27
SH345537,Beijing Life Sciences Inc.,2022,Pharmaceuticals,Sichuan,6691.84,1192.85,12122.26,5243.16,6879.1,964.27,17.34,9.84,0.76,17.83,0,A,Qualified,0.36,6,44,0.21,16177.15,SOE,Low,Big4,0.14
SZ792283,Bank of China Trust,2021,Financial Services,Guangdong,10988.14,816.64,18676.88,9169.78,9507.1,720.5,8.59,4.37,0.96,7.43,0,A,Standard,0.56,9,41,0.62,23122.41,Private,Medium,Big4,0.06
SH999198,ICBC Capital Group,2022,Financial Services,Shenzhen,9780.29,632.06,14383.03,10989.24,3393.790000000001,562.44,18.62,4.39,3.24,6.46,0,BB,Adverse,0.57,9,73,0.18,18692.26,SOE,Medium,Local Tier 1,0.12
SH147937,Alibaba Commerce Ltd.,2021,Retail & E-commerce,Guangdong,10260.02,1930.07,17534.71,11933.44,5601.269999999999,1667.64,34.46,11.01,2.13,18.81,0,BBB,Standard,0.45,9,59,0.64,27834.02,SOE,Medium,Local Tier 1,0.23
SH292989,Sinopharm Biotech,2021,Pharmaceuticals,Beijing,4669.33,830.2,5622.73,3826.24,1796.4899999999998,675.89,46.21,14.77,2.13,17.78,0,A,Qualified,0.79,2,65,0.15,10753.43,Private,High,Local Tier 2,0.3
SH244171,Huawei Digital Ltd.,2022,Technology,Guangdong,5645.31,1212.77,11101.27,5372.69,5728.580000000001,1128.81,21.17,10.92,0.94,21.48,0,AAA,Standard,0.41,4,60,0.28,16496.35,Private,Medium,Big4,0.16
SH163387,China Grain Supply Chain,2021,Agriculture,Jiangsu,5538.97,378.21,9846.39,7316.83,2529.5599999999995,392.29,14.95,3.84,2.89,6.83,0,BBB,Standard,0.08,9,57,0.14,13562.38,SOE,Low,Local Tier 1,0.09
SZ117539,China Grain Supply Chain,2021,Agriculture,Hebei,3744.9,-97.67,6577.9,1983.95,4593.95,-102.34,-2.13,-1.48,0.43,-2.61,1,A,Standard,1.0,9,77,0.42,12408.33,SOE,High,Local Tier 1,-0.02
SZ200993,China Southern Logistics,2021,Transportation,Shenzhen,6281.01,1055.91,9954.01,6183.06,3770.95,872.12,28.0,10.61,1.64,16.81,0,AA,Standard,0.33,5,42,0.5,16679.09,SOE,Low,Local Tier 1,0.19
SZ785492,PetroChina Renewables Ltd.,2022,Energy,Beijing,10483.55,1565.15,13226.54,4355.18,8871.36,1461.37,17.64,11.83,0.49,14.93,0,AAA,Standard,0.76,9,89,0.55,25527.42,Private,High,Local Tier 1,0.15
SZ625120,Beijing Life Sciences Inc.,2022,Pharmaceuticals,Sichuan,8422.66,-226.1,12120.04,9336.55,2783.4900000000016,-204.33,-8.12,-1.87,3.35,-2.68,1,AAA,Standard,1.0,2,57,0.25,22210.3,Private,High,Local Tier 2,-0.05
SZ699744,China Southern Logistics,2021,Transportation,Shenzhen,8261.99,1819.63,10259.79,5226.3,5033.490000000001,1645.06,36.15,17.74,1.04,22.02,0,BBB,Standard,0.52,5,37,0.17,12511.14,SOE,Medium,Local Tier 2,0.27
SH358569,China National Steel Corp.,2022,Manufacturing,Jiangsu,9043.72,625.45,11946.73,4929.92,7016.8099999999995,563.15,8.91,5.24,0.7,6.92,0,A,Standard,0.44,2,48,0.24,22106.71,Private,Medium,Local Tier 2,0.07
SZ720996,JD Global Mall,2021,Retail & E-commerce,Shenzhen,8221.31,2381.9,12886.01,4200.56,8685.45,2654.65,27.42,18.48,0.48,28.97,0,BBB,Standard,0.51,8,34,0.28,18862.62,Private,Medium,Big4,0.23
SH971663,Bank of China Trust,2022,Financial Services,Shanghai,6062.11,424.84,8073.31,3754.96,4318.35,468.47,9.84,5.26,0.87,7.01,0,BB,Qualified,0.21,7,77,0.43,15945.7,SOE,Low,Local Tier 1,0.08
SZ938339,Haier Precision Ltd.,2021,Manufacturing,Shenzhen,11890.98,1756.45,17457.94,6754.14,10703.8,1905.41,16.41,10.06,0.63,14.77,0,A,Standard,0.39,2,30,0.29,31365.5,Private,Low,Local Tier 2,0.13
SH653350,PetroChina Renewables Ltd.,2022,Energy,Sichuan,6767.87,566.66,12175.81,7616.87,4558.94,594.07,12.43,4.65,1.67,8.37,0,A,Standard,0.09,10,45,0.48,19712.22,Foreign JV,Low,Local Tier 1,0.09
SH535821,Vanke Urban Assets,2022,Real Estate,Jiangsu,8450.41,-173.13,15985.23,9164.72,6820.51,-164.85,-2.54,-1.08,1.34,-2.05,1,A,Standard,0.34,1,62,0.13,22886.46,SOE,Low,Big4,-0.02
SH845280,Ping An Financial Holdings,2021,Financial Services,Zhejiang,10399.83,-120.96,14952.77,6728.14,8224.630000000001,-132.73,-1.47,-0.81,0.82,-1.16,1,AA,Standard,0.89,4,34,0.23,23657.49,SOE,High,Local Tier 1,-0.01
SH765679,Haier Precision Ltd.,2022,Manufacturing,Sichuan,14512.83,1921.66,28451.31,17080.05,11371.260000000002,2108.9,16.9,6.75,1.5,13.24,0,B,Qualified,0.96,7,57,0.13,36759.02,Private,High,Local Tier 1,0.12
SH197875,Sinopec Green Energy,2022,Energy,Sichuan,7072.37,528.9,13027.79,7634.6,5393.1900000000005,531.58,9.81,4.06,1.42,7.48,0,AA,Standard,0.58,3,85,0.61,17020.95,Private,Medium,Local Tier 1,0.07
SH861254,Tencent Cloud Holdings,2022,Technology,Guangdong,7458.53,537.65,12632.16,4508.66,8123.5,504.36,6.62,4.26,0.56,7.21,0,A,Standard,0.46,2,89,0.32,15565.99,SOE,Medium,Local Tier 2,0.05
SZ739967,Sinopharm Biotech,2022,Pharmaceuticals,Shenzhen,6155.68,487.35,9277.05,4899.38,4377.669999999999,461.82,11.13,5.25,1.12,7.92,0,A,Qualified,0.57,3,49,0.28,14626.23,Private,Medium,Local Tier 1,0.08
SZ989080,PetroChina Renewables Ltd.,2022,Energy,Hebei,10124.64,1754.82,17111.24,12608.41,4502.830000000002,1912.03,38.97,10.26,2.8,17.33,0,AA,Standard,0.51,4,52,0.29,27821.28,Private,Medium,Big4,0.25
SH186432,Didi Mobility Systems,2022,Transportation,Shenzhen,5920.44,-198.72,9951.43,6496.22,3455.21,-213.7,-5.75,-2.0,1.88,-3.36,1,AA,Standard,1.0,9,51,0.39,17900.79,Private,High,Local Tier 1,-0.04
SH509712,ICBC Capital Group,2021,Financial Services,Shanghai,4727.1,514.87,7300.64,2710.71,4589.93,595.21,11.22,7.05,0.59,10.89,0,AA,Standard,0.31,4,61,0.34,12937.37,Private,Low,Local Tier 2,0.09
SH233097,Sinopec Green Energy,2022,Energy,Hebei,6613.71,961.65,8082.15,4467.23,3614.92,1140.14,26.6,11.9,1.24,14.54,0,BBB,Standard,0.27,1,86,0.48,11404.99,Private,Low,Local Tier 1,0.19
